iter	RMSE
0	1.562671572
1	1.538970807
2	1.516783262
3	1.497550484
4	1.474385813
5	1.453999754
6	1.436124753
7	1.41672694
8	1.3994888
9	1.380153841
10	1.363547754
11	1.346892568
12	1.331025572
13	1.31626831
14	1.302426767
15	1.286250015
16	1.272359695
17	1.259067037
18	1.246978271
19	1.234836332
20	1.223408314
21	1.211572466
22	1.20092787
23	1.189879512
24	1.179207608
25	1.16965083
26	1.159834919
27	1.150736845
28	1.142480493
29	1.133117378
30	1.124315499
31	1.116424812
32	1.108974586
33	1.101002812
34	1.09362902
35	1.085949846
36	1.078765319
37	1.070954931
38	1.064624075
39	1.058972863
40	1.051429095
41	1.045204255
42	1.039941852
43	1.03479601
44	1.030300616
45	1.024056415
46	1.019954434
47	1.014613949
48	1.010766597
49	1.007132572
50	1.001176114
51	0.9969913446
52	0.9910728836
53	0.9874032678
54	0.9835812362
55	0.9784647019
56	0.9752289419
57	0.9725924985
58	0.969978811
59	0.9640293285
60	0.9603071546
61	0.9576968552
62	0.9551534501
63	0.951818449
64	0.9496676408
65	0.9476393207
66	0.9456045909
67	0.9389974592
68	0.9367850278
69	0.9333347566
70	0.9314378302
71	0.9297857638
72	0.927625633
73	0.9262723385
74	0.9215586165
75	0.9202526034
76	0.9169688461
77	0.9156167831
78	0.9140305599
79	0.9096364541
80	0.9038252453
81	0.898917569
82	0.8964335231
83	0.894122584
84	0.8926415426
85	0.8874701796
86	0.8852149877
87	0.8810872326
88	0.8757006233
89	0.8746494248
90	0.8733648497
91	0.8692455018
92	0.8682594639
93	0.8642284261
94	0.86170599
95	0.8572430474
96	0.8563141291
97	0.8552372259
98	0.8515636666
99	0.8506152466
100	0.8494157823
101	0.8458984827
102	0.8437977696
103	0.8394656253
104	0.8363895119
105	0.8312405117
106	0.8276446219
107	0.8251156356
108	0.8240603949
109	0.8232959564
110	0.8178488696
111	0.8154494878
112	0.8134962936
113	0.8127311792
114	0.8088791965
115	0.8058964121
116	0.8052475166
117	0.8032789559
118	0.8023017294
119	0.8004513714
120	0.7979093994
121	0.7948482718
122	0.7932671027
123	0.7913128601
124	0.7896942175
125	0.7890655277
126	0.7875000541
127	0.7832662951
128	0.7785948276
129	0.7778326308
130	0.7745417882
131	0.7726924274
132	0.7705648812
133	0.7675628764
134	0.7662948376
135	0.7645345525
136	0.7626095563
137	0.7575411486
138	0.7543335409
139	0.7538177004
140	0.7532954562
141	0.7528464055
142	0.7524646021
143	0.7518314276
144	0.7507148543
145	0.7489291684
146	0.7458582785
147	0.7443290124
148	0.7398214078
149	0.7386338281
150	0.738242986
151	0.7344427864
152	0.7340622537
153	0.733039095
154	0.7320455981
155	0.727694427
156	0.7268648391
157	0.723370307
158	0.7202593965
159	0.7167816124
160	0.7132213284
161	0.711333574
162	0.7104595529
163	0.7091248
164	0.7049748436
165	0.7025251593
166	0.6991134455
167	0.6974850592
168	0.6965612575
169	0.6961312694
170	0.6930375432
171	0.6926648409
172	0.6916606783
173	0.6881801082
174	0.6872609607
175	0.6842603527
176	0.6815646383
177	0.6780237518
178	0.677254504
179	0.6746920633
180	0.6712344914
181	0.670447822
182	0.6674343658
183	0.665781224
184	0.6648752648
185	0.6613218151
186	0.6609272853
187	0.6589959284
188	0.6587649642
189	0.6565644607
190	0.6539222323
191	0.6536644257
192	0.650681807
193	0.6484053688
194	0.6471285533
195	0.6465392119
196	0.6445839345
197	0.6420815189
198	0.6413494504
199	0.6407094744
200	0.6390849058
201	0.6384806857
202	0.6357491018
203	0.6342677984
204	0.6333522892
205	0.6306770537
206	0.6285526622
207	0.6282768393
208	0.6268481018
209	0.6260346474
210	0.6258475577
211	0.6235533667
212	0.62147033
213	0.620920254
214	0.6204033076
215	0.6194155491
216	0.6191904199
217	0.618046928
218	0.6168501001
219	0.6163960647
220	0.6157876282
