iter	Passed	Remaining
0	1	1947
1	4	2016
2	5	1924
3	7	1871
4	9	1844
5	11	1824
6	12	1809
7	14	1806
8	16	1796
9	18	1797
10	19	1786
11	21	1780
12	23	1775
13	25	1794
14	27	1797
15	29	1791
16	30	1783
17	32	1787
18	34	1783
19	36	1778
20	38	1774
21	39	1777
22	41	1772
23	43	1769
24	45	1765
25	47	1766
26	48	1762
27	50	1761
28	52	1757
29	54	1753
30	55	1749
31	57	1746
32	59	1746
33	61	1743
34	63	1740
35	64	1738
36	66	1735
37	68	1733
38	70	1731
39	72	1731
40	73	1728
41	75	1725
42	77	1724
43	79	1721
44	80	1718
45	82	1716
46	84	1714
47	86	1711
48	88	1708
49	89	1709
50	91	1708
51	96	1754
52	99	1769
53	100	1765
54	102	1762
55	104	1757
56	106	1754
57	107	1750
58	109	1747
59	111	1744
60	113	1741
61	114	1738
62	116	1735
63	118	1732
64	120	1728
65	121	1726
66	123	1722
67	125	1719
68	127	1716
69	128	1713
70	130	1711
71	132	1708
72	134	1705
73	136	1701
74	137	1699
75	139	1696
76	141	1693
77	143	1690
78	144	1688
79	146	1685
80	148	1682
81	150	1680
82	151	1677
83	153	1675
84	155	1673
85	157	1670
86	158	1668
87	160	1665
88	162	1663
89	164	1661
90	166	1658
91	167	1656
92	169	1654
93	171	1652
94	173	1649
95	174	1646
96	176	1644
97	178	1642
98	180	1639
99	181	1637
100	183	1634
101	185	1632
102	187	1630
103	188	1628
104	190	1625
105	192	1623
106	194	1621
107	196	1618
108	197	1616
109	199	1614
110	201	1612
111	203	1609
112	204	1607
113	206	1605
114	208	1602
115	210	1600
116	211	1598
117	213	1596
118	215	1593
119	217	1591
120	219	1596
121	221	1594
122	223	1592
123	225	1589
124	226	1587
125	228	1585
126	230	1583
127	232	1581
128	233	1579
129	235	1577
130	237	1575
131	239	1574
132	241	1571
133	243	1570
134	244	1568
135	246	1565
136	248	1563
137	249	1561
138	251	1559
139	253	1557
140	255	1555
141	257	1553
142	258	1551
143	260	1549
144	262	1547
145	264	1545
146	265	1543
147	267	1541
148	269	1539
149	271	1537
150	273	1535
151	274	1533
152	276	1531
153	278	1529
154	280	1527
155	282	1526
156	283	1524
157	285	1522
158	287	1520
159	289	1518
160	291	1516
161	292	1514
162	294	1512
163	296	1510
164	298	1508
165	299	1506
166	301	1503
167	303	1501
168	305	1499
169	306	1497
170	308	1495
171	310	1493
172	312	1491
173	313	1489
174	315	1487
175	317	1485
176	319	1483
177	320	1481
178	322	1479
179	324	1477
180	326	1476
181	328	1474
182	329	1472
183	331	1470
184	333	1468
185	335	1466
186	336	1464
187	338	1462
188	340	1460
189	342	1458
190	343	1456
191	345	1454
192	347	1453
193	349	1451
194	351	1449
195	352	1447
196	354	1445
197	356	1443
198	358	1441
199	359	1439
200	361	1438
201	363	1436
202	365	1434
203	367	1432
204	369	1431
205	370	1429
206	372	1427
207	374	1425
208	376	1423
209	377	1421
210	379	1419
211	381	1417
212	383	1415
213	385	1414
214	386	1412
215	388	1410
216	390	1409
217	392	1407
218	394	1405
219	395	1403
220	397	1401
221	399	1399
222	401	1397
223	402	1395
224	404	1394
225	406	1392
226	408	1390
227	410	1388
228	412	1387
229	413	1385
230	415	1383
231	417	1381
232	419	1379
233	420	1377
234	422	1375
235	424	1373
236	426	1371
237	427	1369
238	429	1368
239	431	1366
240	433	1364
241	435	1362
242	436	1360
243	438	1358
244	440	1357
245	442	1355
246	443	1353
247	445	1351
248	447	1349
249	449	1347
250	450	1345
251	452	1343
252	454	1342
253	456	1340
254	458	1339
255	460	1337
256	461	1335
257	463	1333
258	465	1331
259	467	1329
260	469	1328
261	470	1326
262	472	1324
263	474	1322
264	476	1320
265	477	1318
266	479	1316
267	481	1315
268	483	1313
269	485	1311
270	486	1309
271	488	1307
272	490	1305
273	492	1303
274	493	1301
275	495	1299
276	497	1298
277	499	1298
278	501	1296
279	503	1294
280	505	1292
281	507	1291
282	508	1289
283	510	1287
284	512	1285
285	514	1283
286	515	1281
287	517	1279
288	519	1278
289	521	1276
290	523	1274
291	524	1272
292	526	1270
293	528	1268
294	530	1266
295	531	1264
296	533	1262
297	535	1260
298	537	1259
299	538	1257
300	540	1256
301	542	1254
302	544	1252
303	546	1250
304	548	1248
305	549	1246
306	551	1244
307	553	1243
308	555	1241
309	556	1239
310	558	1237
311	560	1235
312	562	1234
313	564	1232
314	565	1230
315	567	1228
316	569	1226
317	571	1225
318	572	1223
319	574	1221
320	576	1219
321	578	1217
322	580	1216
323	582	1215
324	584	1213
325	585	1211
326	587	1209
327	589	1207
328	591	1205
329	593	1204
330	594	1202
331	596	1200
332	598	1198
333	600	1196
334	601	1194
335	603	1192
336	605	1190
337	607	1188
338	608	1187
339	610	1185
340	612	1183
341	614	1181
342	615	1179
343	617	1177
344	619	1175
345	621	1174
346	622	1172
347	624	1170
348	626	1168
349	628	1166
350	630	1165
351	631	1163
352	633	1161
353	635	1159
354	637	1157
355	638	1155
356	640	1153
357	642	1152
358	644	1150
